,Unnamed: 0,Area_code,State,Market,Market_size,Profit,Margin,Sales,COGS,Total_expenses,Marketing,Inventory,Budget_profit,Budget_COGS,Budget_margin,Budget_sales,Product_ID,Date,Product_type,Product,Type
26,26,203,connecticut,east,small market,16,57,100,43,41,14,388,20,40,50,90,6,2010-01-07,2,decaf espresso,1
27,27,203,connecticut,east,small market,16,56,98,42,40,13,384,20,40,50,90,6,2010-01-08,2,decaf espresso,1
28,28,203,connecticut,east,small market,47,75,145,55,47,18,312,40,50,70,120,6,2011-01-01,2,decaf espresso,1
29,29,203,connecticut,east,small market,39,71,132,53,45,17,299,40,50,70,120,6,2011-01-03,2,decaf espresso,1
30,30,203,connecticut,east,small market,22,56,97,42,37,13,384,20,40,50,90,6,2011-01-08,2,decaf espresso,1
31,31,203,connecticut,east,small market,31,64,118,47,43,15,375,50,30,60,90,6,2011-01-10,2,decaf espresso,1
32,32,203,connecticut,east,small market,39,71,132,53,45,17,380,40,50,70,120,6,2011-01-11,2,decaf espresso,1
33,33,203,connecticut,east,small market,31,65,121,49,44,16,392,40,40,70,110,6,2011-01-12,2,decaf espresso,1
34,34,203,connecticut,east,small market,39,104,189,85,65,32,476,40,60,80,140,9,2010-01-03,3,lemon,1
35,35,203,connecticut,east,small market,32,93,169,76,61,28,580,40,50,80,130,9,2010-01-06,3,lemon,1
36,36,203,connecticut,east,small market,50,98,190,80,64,30,494,30,60,70,130,9,2011-01-04,3,lemon,1
37,37,203,connecticut,east,small market,36,83,160,67,59,25,599,20,50,60,110,9,2011-01-09,3,lemon,1
38,38,203,connecticut,east,small market,50,98,189,79,64,30,593,30,40,50,90,9,2011-01-10,3,lemon,1
39,39,203,connecticut,east,small market,46,89,163,74,43,22,949,50,50,70,120,10,2010-01-03,3,mint,1
40,40,203,connecticut,east,small market,68,90,176,75,44,23,956,50,50,70,120,10,2011-01-02,3,mint,1
41,41,203,connecticut,east,small market,52,80,147,68,39,21,998,40,50,60,110,10,2011-01-05,3,mint,1
42,42,203,connecticut,east,small market,49,74,145,62,41,19,1059,40,40,60,100,10,2011-01-09,3,mint,1
43,43,203,connecticut,east,small market,52,77,151,65,42,20,1053,50,30,50,80,10,2011-01-10,3,mint,1
44,44,203,connecticut,east,small market,53,76,148,63,40,19,1075,40,40,60,100,10,2011-01-12,3,mint,1
45,45,203,connecticut,east,small market,43,68,115,47,25,13,821,60,40,80,120,11,2010-01-04,1,darjeeling,0
46,46,203,connecticut,east,small market,32,52,87,35,20,9,894,50,30,60,90,11,2010-01-07,1,darjeeling,0
47,47,203,connecticut,east,small market,28,49,83,34,21,9,890,40,30,50,80,11,2010-01-08,1,darjeeling,0
48,48,203,connecticut,east,small market,41,64,108,44,23,12,886,50,40,70,110,11,2010-01-09,1,darjeeling,0
49,49,203,connecticut,east,small market,46,55,91,37,20,10,876,40,30,60,90,11,2011-01-06,1,darjeeling,0
50,50,206,washington,west,small market,38,77,130,53,39,16,338,70,60,100,160,2,2010-01-01,0,columbian,0
51,51,206,washington,west,small market,48,89,150,61,41,19,325,80,70,110,180,2,2010-01-03,0,columbian,0
52,52,206,washington,west,small market,56,99,167,68,43,21,438,110,90,140,230,2,2010-01-10,0,columbian,0
53,53,206,washington,west,small market,59,77,145,53,41,16,338,70,60,100,160,2,2011-01-01,0,columbian,0
54,54,206,washington,west,small market,80,100,180,69,46,22,340,90,80,130,210,2,2011-01-04,0,columbian,0
55,55,206,washington,west,small market,91,114,191,79,45,25,425,110,90,150,240,2,2011-01-06,0,columbian,0
56,56,206,washington,west,small market,15,128,220,92,113,83,541,60,110,160,270,3,2010-01-02,0,decaf irish cream,1
57,57,206,washington,west,small market,16,132,227,95,116,86,532,70,110,170,280,3,2010-01-03,0,decaf irish cream,1
58,58,206,washington,west,small market,17,132,227,95,115,86,554,70,110,170,280,3,2010-01-04,0,decaf irish cream,1
59,59,206,washington,west,small market,24,154,264,110,130,100,665,90,130,200,330,3,2010-01-06,0,decaf irish cream,1
60,60,206,washington,west,small market,34,184,317,133,150,120,705,100,160,230,390,3,2010-01-08,0,decaf irish cream,1
61,61,206,washington,west,small market,24,132,242,95,116,86,532,70,110,170,280,3,2011-01-03,0,decaf irish cream,1
62,62,206,washington,west,small market,33,154,262,110,121,100,665,90,130,200,330,3,2011-01-06,0,decaf irish cream,1
63,63,206,washington,west,small market,43,173,294,124,132,112,717,100,150,220,370,3,2011-01-07,0,decaf irish cream,1
64,64,206,washington,west,small market,24,130,238,93,114,84,692,60,110,160,270,3,2011-01-09,0,decaf irish cream,1
65,65,206,washington,west,small market,25,134,245,96,117,87,683,100,140,190,330,3,2011-01-10,0,decaf irish cream,1
66,66,206,washington,west,small market,30,145,266,105,125,95,716,50,120,170,290,3,2011-01-12,0,decaf irish cream,1
67,67,206,washington,west,small market,0,87,150,63,87,57,506,10,40,60,100,13,2010-01-03,1,green tea,0
68,68,206,washington,west,small market,40,61,105,44,69,39,617,10,20,50,70,13,2010-01-08,1,green tea,0
69,69,206,washington,west,small market,0,84,144,60,84,54,606,10,20,40,60,13,2010-01-10,1,green tea,0
70,70,206,washington,west,small market,1,86,147,61,85,55,613,0,40,60,100,13,2010-01-11,1,green tea,0
71,71,206,washington,west,small market,0,87,160,63,87,57,521,10,40,60,100,13,2011-01-04,1,green tea,0
72,72,206,washington,west,small market,3,90,153,64,82,58,551,10,40,60,100,13,2011-01-05,1,green tea,0
73,73,206,washington,west,small market,3,87,159,62,85,56,612,10,40,60,100,13,2011-01-09,1,green tea,0
74,74,206,washington,west,small market,0,84,153,60,84,54,606,10,20,40,60,13,2011-01-10,1,green tea,0
75,75,206,washington,west,small market,16,72,130,58,56,22,338,20,50,70,120,5,2010-01-05,2,caffe mocha,0
76,76,206,washington,west,small market,18,74,133,59,56,22,403,20,50,70,120,5,2010-01-07,2,caffe mocha,0
77,77,206,washington,west,small market,20,66,134,54,56,20,312,20,50,60,110,5,2011-01-01,2,caffe mocha,0
78,78,206,washington,west,small market,18,65,126,53,53,20,306,20,50,60,110,5,2011-01-02,2,caffe mocha,0
79,79,206,washington,west,small market,22,70,135,57,55,21,313,30,50,70,120,5,2011-01-04,2,caffe mocha,0
80,80,206,washington,west,small market,19,67,129,54,54,20,391,20,50,60,110,5,2011-01-11,2,caffe mocha,0
81,81,206,washington,west,small market,39,81,150,69,42,21,965,60,60,80,140,6,2010-01-01,2,decaf espresso,1
82,82,206,washington,west,small market,39,82,151,69,43,21,965,60,60,80,140,6,2010-01-04,2,decaf espresso,1
83,83,206,washington,west,small market,47,92,170,78,45,24,995,60,70,90,160,6,2010-01-05,2,decaf espresso,1
84,84,206,washington,west,small market,71,123,226,103,52,31,1073,90,90,120,210,6,2010-01-08,2,decaf espresso,1
85,85,206,washington,west,small market,53,99,182,83,46,25,1063,70,70,100,170,6,2010-01-09,2,decaf espresso,1
86,86,206,washington,west,small market,45,89,164,75,44,23,1063,40,70,80,150,6,2010-01-11,2,decaf espresso,1
87,87,206,washington,west,small market,59,84,165,71,44,22,950,50,60,80,140,6,2011-01-03,2,decaf espresso,1
88,88,206,washington,west,small market,58,82,161,69,43,21,965,60,60,80,140,6,2011-01-04,2,decaf espresso,1
89,89,206,washington,west,small market,65,92,168,78,42,24,995,60,70,90,160,6,2011-01-05,2,decaf espresso,1
90,90,206,washington,west,small market,79,99,194,83,46,25,1063,70,70,100,170,6,2011-01-09,2,decaf espresso,1
91,91,206,washington,west,small market,115,186,310,124,71,40,961,120,100,170,270,8,2010-01-01,3,chamomile,1
92,92,206,washington,west,small market,121,195,325,130,74,42,945,120,110,170,280,8,2010-01-02,3,chamomile,1
93,93,206,washington,west,small market,115,186,309,123,71,40,932,120,100,170,270,8,2010-01-03,3,chamomile,1
94,94,206,washington,west,small market,98,165,275,110,67,36,1020,100,90,150,240,8,2010-01-05,3,chamomile,1
95,95,206,washington,west,small market,79,140,232,92,61,30,1102,90,70,130,200,8,2010-01-06,3,chamomile,1
96,96,206,washington,west,small market,115,188,313,125,73,41,1119,130,90,160,250,8,2010-01-10,3,chamomile,1
97,97,206,washington,west,small market,122,195,325,130,73,42,1134,120,120,180,300,8,2010-01-11,3,chamomile,1
98,98,206,washington,west,small market,180,195,346,130,74,42,945,120,110,170,280,8,2011-01-02,3,chamomile,1
99,99,206,washington,west,small market,157,176,311,116,70,38,962,110,90,160,250,8,2011-01-04,3,chamomile,1
100,100,206,washington,west,small market,181,195,346,130,73,42,1134,120,120,180,300,8,2011-01-11,3,chamomile,1
101,101,206,washington,west,small market,36,59,99,40,23,11,793,50,30,50,80,9,2010-01-05,3,lemon,1
102,102,206,washington,west,small market,50,59,98,40,21,11,793,50,30,50,80,9,2011-01-05,3,lemon,1
103,103,206,washington,west,small market,62,105,167,62,43,19,346,40,40,70,110,11,2010-01-03,1,darjeeling,0
104,104,206,washington,west,small market,57,99,159,60,42,18,329,40,20,50,70,11,2010-01-10,1,darjeeling,0
105,105,206,washington,west,small market,98,109,185,65,43,20,372,40,40,70,110,11,2011-01-02,1,darjeeling,0
106,106,206,washington,west,small market,57,78,124,47,34,14,371,30,30,50,80,11,2011-01-06,1,darjeeling,0
107,107,206,washington,west,small market,80,94,161,57,40,17,349,40,30,70,100,11,2011-01-09,1,darjeeling,0
108,108,206,washington,west,small market,41,81,137,56,40,17,382,40,30,60,90,12,2010-01-02,1,earl grey,0
109,109,206,washington,west,small market,24,59,99,40,35,12,443,20,20,40,60,12,2010-01-06,1,earl grey,0
110,110,206,washington,west,small market,20,54,90,36,34,11,458,30,20,40,60,12,2010-01-08,1,earl grey,0
111,111,206,washington,west,small market,34,71,120,49,37,15,454,30,30,50,80,12,2010-01-11,1,earl grey,0
112,112,206,washington,west,small market,75,89,168,61,43,19,390,40,40,60,100,12,2011-01-01,1,earl grey,0
113,113,206,washington,west,small market,56,77,137,52,39,16,376,30,30,50,80,12,2011-01-03,1,earl grey,0
114,114,206,washington,west,small market,45,68,121,46,38,14,388,20,30,40,70,12,2011-01-04,1,earl grey,0
115,115,206,washington,west,small market,33,59,98,40,33,12,443,20,20,40,60,12,2011-01-06,1,earl grey,0
116,116,206,washington,west,small market,28,54,89,36,32,11,458,30,20,40,60,12,2011-01-08,1,earl grey,0
117,117,206,washington,west,small market,50,71,128,49,37,15,454,30,30,50,80,12,2011-01-11,1,earl grey,0
118,118,206,washington,west,small market,32,58,103,45,26,14,605,30,40,50,90,4,2010-01-04,2,caffe latte,0
119,119,206,washington,west,small market,34,62,110,48,28,15,599,40,40,60,100,4,2010-01-05,2,caffe latte,0
120,120,206,washington,west,small market,34,62,110,48,28,15,593,40,40,60,100,4,2010-01-06,2,caffe latte,0
121,121,206,washington,west,small market,36,65,115,50,29,16,587,50,40,70,110,4,2010-01-07,2,caffe latte,0
122,122,206,washington,west,small market,17,39,69,30,22,9,581,30,20,40,60,4,2010-01-08,2,caffe latte,0
123,123,206,washington,west,small market,21,43,76,33,22,10,577,30,30,40,70,4,2010-01-09,2,caffe latte,0
124,124,206,washington,west,small market,10,29,51,22,19,7,573,20,10,20,30,4,2010-01-10,2,caffe latte,0
125,125,206,washington,west,small market,55,62,123,48,28,15,623,40,40,60,100,4,2011-01-01,2,caffe latte,0
126,126,206,washington,west,small market,47,62,109,48,26,15,599,40,40,60,100,4,2011-01-05,2,caffe latte,0
127,127,206,washington,west,small market,50,65,114,50,27,16,587,50,40,70,110,4,2011-01-07,2,caffe latte,0
128,128,206,washington,west,small market,15,29,54,22,19,7,573,20,10,20,30,4,2011-01-10,2,caffe latte,0
129,129,206,washington,west,small market,19,32,60,24,19,7,567,20,20,30,50,4,2011-01-12,2,caffe latte,0
130,130,209,california,west,major market,40,-21,106,127,63,40,1215,-80,160,-30,130,1,2010-01-05,0,amaretto,0
131,131,209,california,west,major market,40,-67,87,154,71,49,1832,-150,190,-90,100,1,2010-01-07,0,amaretto,0
132,132,209,california,west,major market,40,50,162,95,55,30,608,30,110,70,180,1,2011-01-01,0,amaretto,0
133,133,209,california,west,major market,40,-25,109,127,63,40,2947,-90,150,-30,120,1,2011-01-12,0,amaretto,0
134,134,209,california,west,major market,276,428,712,284,152,99,2108,400,350,540,890,2,2010-01-04,0,columbian,0
135,135,209,california,west,major market,410,428,759,284,152,99,2108,400,350,540,890,2,2011-01-04,0,columbian,0
136,136,209,california,west,major market,88,114,201,75,55,24,659,40,50,80,130,13,2011-01-11,1,green tea,0
137,137,209,california,west,major market,25,168,289,121,143,109,788,30,110,160,270,5,2010-01-05,2,caffe mocha,0
138,138,209,california,west,major market,216,329,576,247,113,81,1744,210,240,310,550,6,2010-01-12,2,decaf espresso,1
139,139,209,california,west,major market,321,329,614,247,113,81,1744,210,240,310,550,6,2011-01-12,2,decaf espresso,1
140,140,209,california,west,major market,148,137,247,95,37,26,809,100,80,120,200,8,2011-01-02,3,chamomile,1
141,141,209,california,west,major market,196,295,546,251,99,77,1268,200,210,270,480,9,2010-01-09,3,lemon,1
142,142,209,california,west,major market,291,295,582,251,99,77,1268,200,210,270,480,9,2011-01-09,3,lemon,1
143,143,209,california,west,major market,26,51,90,39,25,12,541,40,20,40,60,10,2010-01-10,3,mint,1
144,144,209,california,west,major market,120,163,276,113,43,31,897,90,70,110,180,11,2010-01-06,1,darjeeling,0
145,145,209,california,west,major market,79,111,187,76,32,21,580,50,30,50,80,12,2010-01-10,1,earl grey,0
146,146,210,texas,south,major market,192,288,532,244,96,75,1213,270,300,360,660,2,2010-01-06,0,columbian,0
147,147,210,texas,south,major market,112,152,256,104,40,29,952,120,80,140,220,5,2010-01-07,2,caffe mocha,0
148,148,210,texas,south,major market,133,179,302,123,46,34,915,100,70,120,190,5,2010-01-10,2,caffe mocha,0
149,149,210,texas,south,major market,184,178,298,123,42,34,941,120,100,150,250,5,2011-01-08,2,caffe mocha,0
150,150,210,texas,south,major market,48,73,123,50,25,14,589,40,30,60,90,6,2010-01-11,2,decaf espresso,1
151,151,210,texas,south,major market,26,51,84,34,30,10,428,30,30,50,80,9,2011-01-08,3,lemon,1
152,152,212,new york,east,major market,83,117,198,81,34,22,460,100,80,130,210,13,2010-01-04,1,green tea,0
153,153,212,new york,east,major market,84,80,150,54,27,15,456,70,50,90,140,13,2011-01-01,1,green tea,0
154,154,212,new york,east,major market,123,124,208,86,33,24,499,100,90,130,220,13,2011-01-05,1,green tea,0
155,155,212,new york,east,major market,40,-69,66,135,155,122,3641,-210,130,-70,60,5,2010-01-12,2,caffe mocha,0
156,156,212,new york,east,major market,40,-59,70,125,146,113,1382,-190,120,-60,60,5,2011-01-04,2,caffe mocha,0
157,157,212,new york,east,major market,40,-95,77,173,176,156,2615,-260,160,-90,70,5,2011-01-08,2,caffe mocha,0
158,158,212,new york,east,major market,316,369,647,284,130,107,1565,180,210,290,500,9,2011-01-08,3,lemon,1
159,159,212,new york,east,major market,40,-139,112,251,99,77,3948,-180,190,-110,80,10,2010-01-09,3,mint,1
160,160,212,new york,east,major market,138,185,312,127,47,35,1007,160,130,200,330,11,2010-01-07,1,darjeeling,0
161,161,212,new york,east,major market,190,185,309,127,44,35,1007,160,130,200,330,11,2011-01-07,1,darjeeling,0
162,162,212,new york,east,major market,187,283,543,260,96,72,1271,210,240,290,530,7,2010-01-05,2,regular espresso,0
163,163,212,new york,east,major market,646,526,815,239,91,66,1197,450,210,510,720,7,2011-01-10,2,regular espresso,0
164,164,213,california,west,major market,364,387,687,258,142,90,2067,360,320,480,800,2,2011-01-02,0,columbian,0
165,165,213,california,west,major market,508,546,902,364,166,127,2617,520,450,680,1130,2,2011-01-08,0,columbian,0
166,166,213,california,west,major market,349,374,664,249,139,87,2580,310,290,450,740,2,2011-01-11,0,columbian,0
167,167,213,california,west,major market,47,101,168,67,54,22,677,50,40,80,120,13,2010-01-12,1,green tea,0
168,168,213,california,west,major market,203,312,546,234,109,77,1310,200,220,300,520,6,2010-01-01,2,decaf espresso,1
169,169,213,california,west,major market,220,336,589,253,116,83,1686,220,240,320,560,6,2010-01-09,2,decaf espresso,1
170,170,213,california,west,major market,292,304,567,228,107,75,1691,190,220,290,510,6,2011-01-11,2,decaf espresso,1
171,171,213,california,west,major market,84,117,198,81,33,22,984,80,70,110,180,8,2010-01-11,3,chamomile,1
172,172,213,california,west,major market,165,253,467,214,88,66,923,170,180,230,410,9,2010-01-03,3,lemon,1
173,173,213,california,west,major market,174,265,490,225,91,69,1272,160,210,240,450,9,2010-01-11,3,lemon,1
174,174,213,california,west,major market,52,68,119,52,28,17,554,40,40,60,100,10,2011-01-08,3,mint,1
175,175,213,california,west,major market,128,172,290,118,44,33,930,110,80,130,210,11,2010-01-11,1,darjeeling,0
176,176,213,california,west,major market,230,266,527,266,92,74,1819,170,250,260,510,4,2011-01-07,2,caffe latte,0
177,177,213,california,west,major market,230,266,527,266,92,74,1797,170,250,260,510,4,2011-01-08,2,caffe latte,0
178,178,214,texas,south,major market,197,295,546,251,98,77,1268,280,310,370,680,2,2010-01-09,0,columbian,0
179,179,214,texas,south,major market,70,109,193,84,39,27,603,110,100,140,240,3,2010-01-03,0,decaf irish cream,1
180,180,214,texas,south,major market,26,51,90,39,25,12,541,80,40,90,130,3,2010-01-10,0,decaf irish cream,1
181,181,214,texas,south,major market,52,79,133,54,27,15,601,40,40,60,100,6,2010-01-12,2,decaf espresso,1
182,182,214,texas,south,major market,119,112,201,77,32,21,449,90,60,100,160,6,2011-01-02,2,decaf espresso,1
183,183,214,texas,south,major market,33,80,140,60,47,19,329,50,50,80,130,8,2010-01-02,3,chamomile,1
184,184,214,texas,south,major market,31,77,134,57,46,18,323,50,50,80,130,8,2010-01-03,3,chamomile,1
185,185,214,texas,south,major market,28,63,109,47,40,15,420,30,40,60,100,8,2011-01-07,3,chamomile,1
186,186,214,texas,south,major market,24,60,101,41,36,13,435,30,30,60,90,9,2010-01-12,3,lemon,1
187,187,216,ohio,central,major market,37,71,122,52,41,17,361,40,50,70,120,1,2011-01-05,0,amaretto,0
188,188,216,ohio,central,major market,42,72,133,53,44,17,410,50,50,80,130,1,2011-01-09,0,amaretto,0
189,189,216,ohio,central,major market,40,71,122,51,76,46,503,30,40,70,110,3,2010-01-10,0,decaf irish cream,1
190,190,216,ohio,central,major market,81,146,291,145,65,40,1304,120,160,180,340,5,2010-01-07,2,caffe mocha,0
191,191,216,ohio,central,major market,138,163,346,162,70,45,1091,130,180,200,380,5,2011-01-04,2,caffe mocha,0
192,192,216,ohio,central,major market,116,149,295,149,60,41,1156,120,170,180,350,5,2011-01-05,2,caffe mocha,0
193,193,216,ohio,central,major market,112,146,288,145,60,40,1304,120,160,180,340,5,2011-01-07,2,caffe mocha,0
194,194,216,ohio,central,major market,15,65,117,53,50,20,361,20,60,70,130,6,2011-01-05,2,decaf espresso,1
195,195,216,ohio,central,major market,11,60,108,49,48,18,414,20,50,70,120,6,2011-01-08,2,decaf espresso,1
196,196,216,ohio,central,major market,16,32,53,21,16,5,454,30,10,30,40,8,2010-01-04,3,chamomile,1
197,197,216,ohio,central,major market,12,26,44,18,16,5,478,20,10,20,30,8,2011-01-06,3,chamomile,1
198,198,216,ohio,central,major market,67,116,200,84,49,26,500,60,70,100,170,12,2010-01-01,1,earl grey,0
199,199,217,illinois,central,major market,111,201,345,144,90,47,862,130,150,210,360,2,2010-01-01,0,columbian,0
200,200,217,illinois,central,major market,119,213,367,154,94,50,829,140,160,220,380,2,2010-01-03,0,columbian,0
201,201,217,illinois,central,major market,156,265,456,191,109,63,865,170,200,270,470,2,2010-01-04,0,columbian,0
202,202,217,illinois,central,major market,150,222,376,154,72,49,833,170,160,230,390,3,2010-01-07,0,decaf irish cream,1
203,203,217,illinois,central,major market,136,139,262,95,55,30,608,100,100,140,240,3,2011-01-01,0,decaf irish cream,1
204,204,217,illinois,central,major market,220,335,587,252,115,83,1316,280,290,400,690,5,2010-01-04,2,caffe mocha,0
205,205,217,illinois,central,major market,313,324,604,243,113,80,1260,260,280,380,660,5,2011-01-03,2,caffe mocha,0
206,206,217,illinois,central,major market,149,239,478,239,90,66,1464,200,270,290,560,6,2010-01-04,2,decaf espresso,1
207,207,217,illinois,central,major market,68,107,190,83,39,27,584,60,70,90,160,9,2010-01-05,3,lemon,1
208,208,217,illinois,central,major market,53,80,134,54,27,15,456,50,40,70,110,11,2010-01-01,1,darjeeling,0
209,209,217,illinois,central,major market,105,145,245,100,40,28,598,100,80,130,210,11,2010-01-08,1,darjeeling,0
210,210,217,illinois,central,major market,78,111,187,76,33,21,580,80,50,80,130,11,2010-01-10,1,darjeeling,0
211,211,217,illinois,central,major market,83,80,150,54,28,15,456,50,40,70,110,11,2011-01-01,1,darjeeling,0
212,212,224,illinois,central,major market,225,271,463,196,100,64,1167,190,200,290,490,2,2011-01-08,0,columbian,0
213,213,224,illinois,central,major market,259,387,678,291,128,96,1742,340,330,470,800,5,2010-01-07,2,caffe mocha,0
214,214,224,illinois,central,major market,196,304,532,228,108,75,1691,290,290,390,680,5,2010-01-11,2,caffe mocha,0
215,215,224,illinois,central,major market,91,126,213,87,35,24,756,90,70,110,180,8,2010-01-03,3,chamomile,1
216,216,224,illinois,central,major market,95,132,223,91,37,25,777,100,70,120,190,8,2010-01-04,3,chamomile,1
217,217,224,illinois,central,major market,62,100,178,78,38,25,593,60,60,90,150,9,2010-01-04,3,lemon,1
218,218,224,illinois,central,major market,157,139,262,95,40,26,821,100,80,120,200,10,2011-01-01,3,mint,1
219,219,225,louisiana,south,small market,30,51,85,34,21,9,777,50,40,60,100,2,2010-01-01,0,columbian,0
220,220,225,louisiana,south,small market,29,49,82,33,20,9,768,50,40,60,100,2,2010-01-03,0,columbian,0
221,221,225,louisiana,south,small market,47,71,119,48,24,13,829,80,70,90,160,2,2010-01-10,0,columbian,0
222,222,225,louisiana,south,small market,44,68,115,47,24,13,834,60,50,80,130,2,2010-01-11,0,columbian,0
223,223,225,louisiana,south,small market,45,51,92,35,21,9,776,50,40,60,100,2,2011-01-04,0,columbian,0
224,224,225,louisiana,south,small market,55,64,106,43,22,12,822,60,50,80,130,2,2011-01-06,0,columbian,0
225,225,225,louisiana,south,small market,45,70,118,48,25,13,851,80,70,90,160,3,2010-01-10,0,decaf irish cream,1
226,226,225,louisiana,south,small market,31,51,85,34,20,9,863,50,40,60,100,3,2010-01-12,0,decaf irish cream,1
227,227,225,louisiana,south,small market,80,85,143,59,25,16,842,90,70,110,180,3,2011-01-06,0,decaf irish cream,1
228,228,225,louisiana,south,small market,45,84,133,49,39,15,342,50,40,70,110,5,2010-01-04,2,caffe mocha,0
229,229,225,louisiana,south,small market,44,82,130,48,38,14,351,50,40,70,110,5,2010-01-05,2,caffe mocha,0
230,230,225,louisiana,south,small market,41,78,125,47,37,14,371,40,40,60,100,5,2010-01-06,2,caffe mocha,0
231,231,225,louisiana,south,small market,30,65,104,39,35,12,380,30,30,50,80,5,2010-01-07,2,caffe mocha,0
232,232,225,louisiana,south,small market,49,88,141,53,39,16,321,30,40,60,100,5,2010-01-11,2,caffe mocha,0
233,233,225,louisiana,south,small market,109,113,201,67,45,20,400,80,50,100,150,5,2011-01-01,2,caffe mocha,0
234,234,225,louisiana,south,small market,96,109,185,65,44,20,372,70,50,90,140,5,2011-01-02,2,caffe mocha,0
235,235,225,louisiana,south,small market,86,99,169,60,41,18,329,70,30,70,100,5,2011-01-10,2,caffe mocha,0
236,236,225,louisiana,south,small market,46,66,114,41,35,12,320,20,30,50,80,5,2011-01-12,2,caffe mocha,0
237,237,225,louisiana,south,small market,31,68,114,46,37,14,388,40,30,60,90,6,2010-01-04,2,decaf espresso,1
238,238,225,louisiana,south,small market,21,54,90,36,33,11,462,20,30,40,70,6,2010-01-07,2,decaf espresso,1
239,239,225,louisiana,south,small market,34,71,120,49,37,15,454,30,30,60,90,6,2010-01-11,2,decaf espresso,1
240,240,225,louisiana,south,small market,27,63,106,43,36,13,466,20,30,50,80,6,2010-01-12,2,decaf espresso,1
241,241,225,louisiana,south,small market,39,65,109,45,34,14,410,40,30,60,90,6,2011-01-05,2,decaf espresso,1
242,242,225,louisiana,south,small market,32,59,98,40,33,12,443,30,30,50,80,6,2011-01-06,2,decaf espresso,1
243,243,225,louisiana,south,small market,29,54,89,36,31,11,462,20,30,40,70,6,2011-01-07,2,decaf espresso,1
244,244,225,louisiana,south,small market,36,63,111,48,27,15,593,40,40,60,100,8,2010-01-06,3,chamomile,1
245,245,225,louisiana,south,small market,87,133,236,103,46,33,564,110,80,130,210,8,2010-01-10,3,chamomile,1
246,246,225,louisiana,south,small market,77,120,214,94,43,31,540,70,80,110,190,8,2010-01-12,3,chamomile,1
